City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Souillac,MU,2021-10-18 21:25:22,-20.5167,57.5167,74.35,78,75,12.66
94,Kapaa,US,2021-10-18 21:29:10,22.0752,-159.319,82.38,72,40,5.01
95,Kanniyakumari,IN,2021-10-18 21:29:10,8.0833,77.5667,79.21,85,71,17.29
96,Baruun-Urt,MN,2021-10-18 21:29:10,46.6806,113.2792,25.86,58,0,7.63
97,Elat,IL,2021-10-18 21:29:11,29.5581,34.9482,75.04,57,0,13.8
98,Kavieng,PG,2021-10-18 21:26:55,-2.5744,150.7967,83.16,76,17,14.34
99,Castro,BR,2021-10-18 21:25:33,-24.7911,-50.0119,56.26,97,100,4.59
100,Lagoa,PT,2021-10-18 21:29:11,39.05,-27.9833,68.43,73,3,22.01
101,Saskylakh,RU,2021-10-18 21:29:12,71.9167,114.0833,22.69,98,100,1.79
102,Odienne,CI,2021-10-18 21:29:12,9.51,-7.5692,78.39,66,23,1.77
103,Hudson Bay,CA,2021-10-18 21:29:12,52.85,-102.3842,54.91,51,72,13.35
104,Palmer,US,2021-10-18 21:29:12,42.1584,-72.3287,55.45,61,75,10.36
105,Port Hedland,AU,2021-10-18 21:27:07,-20.3167,118.5667,68.05,94,4,2.3
106,Yulara,AU,2021-10-18 21:29:13,-25.2406,130.9889,75.04,25,96,8.05
107,Hasaki,JP,2021-10-18 21:29:13,35.7333,140.8333,54.28,72,100,13.87
108,Evensk,RU,2021-10-18 21:29:13,61.95,159.2333,13.05,67,100,11.18
109,Bedele,ET,2021-10-18 21:29:14,8.456,36.353,52.86,80,1,1.88
110,Bethel,US,2021-10-18 21:28:13,41.3712,-73.414,55.22,82,75,8.05
111,Pevek,RU,2021-10-18 21:29:14,69.7008,170.3133,10.62,81,100,3.89
112,Westport,US,2021-10-18 21:24:28,41.1415,-73.3579,57.9,70,90,1.01
113,Lavrentiya,RU,2021-10-18 21:29:15,65.5833,-171.0,26.24,70,100,11.14
114,Gat,IL,2021-10-18 21:25:02,31.61,34.7642,69.4,68,1,3.67
115,Taoudenni,ML,2021-10-18 21:29:15,22.6783,-3.9836,85.71,11,45,11.05
116,Port Alfred,ZA,2021-10-18 21:29:15,-33.5906,26.891,56.55,68,7,5.93
117,Sao Filipe,CV,2021-10-18 21:29:16,14.8961,-24.4956,80.06,74,2,10.58
118,Sanok,PL,2021-10-18 21:29:16,49.5557,22.2056,48.85,100,100,3.47
119,Ormara,PK,2021-10-18 21:29:16,25.2088,64.6357,81.25,46,5,8.77
120,Tarata,BO,2021-10-18 21:29:17,-17.6167,-66.0167,78.22,45,15,10.16
121,Grong,NO,2021-10-18 21:29:17,64.4654,12.3149,31.28,79,100,3.09
122,Saldanha,ZA,2021-10-18 21:29:17,-33.0117,17.9442,55.45,77,1,15.93
123,Nyurba,RU,2021-10-18 21:29:18,63.2842,118.3319,31.6,89,100,5.73
